restaurant_name,neighborhood,cuisine_type,place_url,reviewer_name,rating,review_text,review_text_translated,review_length,published_date,published_timestamp,likes_count,reviewer_total_reviews,is_local_guide,owner_response,review_id,review_url
Capizzi,Hells Kitchen,Italian,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m6!3m5!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,,,0,2025-10-07T02:10:53.263Z,2 hours ago,0,1,False,,,
Capizzi,Hells Kitchen,Italian,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m6!3m5!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,4,,,0,2025-10-06T22:21:02.648Z,6 hours ago,0,0,False,,,
Capizzi,Hells Kitchen,Italian,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m6!3m5!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,4,"Quick service, fun variety of tapas different than traditional (Barcelona) Spanish tapas.",,89,2025-10-06T02:16:31.494Z,a day ago,0,21,True,,,
Pio Pio 8,Hells Kitchen,Peruvian,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m6!3m5!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,,,0,2025-10-07T02:10:53.263Z,2 hours ago,0,1,False,,,
Pio Pio 8,Hells Kitchen,Peruvian,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m6!3m5!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,4,,,0,2025-10-06T22:21:02.648Z,6 hours ago,0,0,False,,,
Pio Pio 8,Hells Kitchen,Peruvian,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m6!3m5!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,4,"Quick service, fun variety of tapas different than traditional (Barcelona) Spanish tapas.",,89,2025-10-06T02:16:31.494Z,a day ago,0,21,True,,,
EZ Paella & Tapas,Hells Kitchen,Spanish,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m8!3m7!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!9m1!1b1!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,,,0,2025-10-07T02:10:53.263Z,2 hours ago,0,1,False,,,
EZ Paella & Tapas,Hells Kitchen,Spanish,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m8!3m7!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!9m1!1b1!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,4,,,0,2025-10-06T22:21:02.648Z,6 hours ago,0,0,False,,,
EZ Paella & Tapas,Hells Kitchen,Spanish,"https://www.google.com/maps/place/EZ+Paella+%26+Tapas/@40.7641426,-74.0011499,16z/data=!4m8!3m7!1s0x89c25950e0009dbd:0xf17fbe0305f0ffdf!8m2!3d40.7636014!4d-73.9886529!9m1!1b1!16s%2Fg%2F11p73q1d3t?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,4,"Quick service, fun variety of tapas different than traditional (Barcelona) Spanish tapas.",,89,2025-10-06T02:16:31.494Z,a day ago,0,21,True,,,
Buena Vista Restaurant & Bar,Hells Kitchen,Latin American,"https://www.google.com/maps/place/Buena+Vista+Restaurant+%26+Bar/@40.7568372,-73.9934938,15z/data=!4m8!3m7!1s0x89c25852b433ffff:0x4bde1e9afa756c9b!8m2!3d40.7568372!4d-73.9934938!9m1!1b1!16s%2Fg%2F11fflztctz?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,"Buena Vista Restaurant & Bar never disappoints! The food is full of flavor, the drinks are great, and the service is always friendly. The space has a fun, relaxed vibe that’s perfect for hanging out with friends or enjoying a nice meal. Everything feels easy and welcoming — definitely a spot you’ll want to come back to.",,321,2025-10-06T20:10:17.515Z,8 hours ago,0,0,False,"¡Muchas gracias, Queen B! Apreciamos tu feedback y estamos encantados de que disfrutes de tu experiencia con nosotros. ¡Esperamos verte de nuevo pronto!",,
Buena Vista Restaurant & Bar,Hells Kitchen,Latin American,"https://www.google.com/maps/place/Buena+Vista+Restaurant+%26+Bar/@40.7568372,-73.9934938,15z/data=!4m8!3m7!1s0x89c25852b433ffff:0x4bde1e9afa756c9b!8m2!3d40.7568372!4d-73.9934938!9m1!1b1!16s%2Fg%2F11fflztctz?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,Everything was fabulous!,,24,2025-10-05T23:35:25.889Z,a day ago,0,5,False,"Thanks, Anne! 🤩 We're so glad you had a fab time with us! Come back soon! 🌟",,
Buena Vista Restaurant & Bar,Hells Kitchen,Latin American,"https://www.google.com/maps/place/Buena+Vista+Restaurant+%26+Bar/@40.7568372,-73.9934938,15z/data=!4m8!3m7!1s0x89c25852b433ffff:0x4bde1e9afa756c9b!8m2!3d40.7568372!4d-73.9934938!9m1!1b1!16s%2Fg%2F11fflztctz?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,"Lovely spot before the theatre for some delicious food. Large portions, Latin combinations & nice eclectic feel.",,112,2025-10-04T15:55:28.426Z,2 days ago,0,59,True,Thank you for your wonderful feedback! We're thrilled you enjoyed our delicious offerings and ambiance—your support inspires us to keep delivering exceptional food experiences.,,
IL Punto,Hells Kitchen,Italian,"https://www.google.com/maps/place/IL+Punto/@40.7629484,-74.0130781,15z/data=!4m8!3m7!1s0x89c259ad582054c3:0xcc8b75d6e07de49c!8m2!3d40.756175!4d-73.9946239!9m1!1b1!16s%2Fg%2F1wfcq1fr?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,"Excelled food with the staff to match!!
Love going here. Always treated with genuine hospitality that makes me come back everytime!",,131,2025-09-29T14:37:47.219Z,a week ago,0,4,False,,,
IL Punto,Hells Kitchen,Italian,"https://www.google.com/maps/place/IL+Punto/@40.7629484,-74.0130781,15z/data=!4m8!3m7!1s0x89c259ad582054c3:0xcc8b75d6e07de49c!8m2!3d40.756175!4d-73.9946239!9m1!1b1!16s%2Fg%2F1wfcq1fr?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,,,0,2025-09-29T00:43:40.779Z,a week ago,0,13,True,,,
IL Punto,Hells Kitchen,Italian,"https://www.google.com/maps/place/IL+Punto/@40.7629484,-74.0130781,15z/data=!4m8!3m7!1s0x89c259ad582054c3:0xcc8b75d6e07de49c!8m2!3d40.756175!4d-73.9946239!9m1!1b1!16s%2Fg%2F1wfcq1fr?entry=ttu&g_ep=EgoyMDI1MTAwMS4wIKXMDSoASAFQAw%3D%3D",,5,,,0,2025-09-24T12:19:23.237Z,a week ago,0,31,True,,,
